order_item_id,order_id,product_id,quantity
1,15001,101,2
2,15001,102,3
3,15002,105,1
4,15002,109,2
5,15003,103,1
6,15003,115,1
7,15004,101,1
8,15004,104,2
9,15005,112,1
10,15005,114,3
11,15006,106,2
12,15006,107,1
13,15007,110,4
14,15007,116,5
15,15008,113,1
16,15008,119,2
17,15009,117,1
18,15009,102,4
19,15010,108,3
20,15010,118,5
21,15011,101,1
22,15011,120,2
23,15012,105,2
24,15012,103,1
25,15013,111,3
26,15013,115,1
27,15014,119,1
28,15014,109,2
29,15015,112,1
30,15015,106,3
31,15016,107,2
32,15016,108,1
33,15017,101,1
34,15017,117,1
35,15018,104,3
36,15018,110,2
37,15019,113,1
38,15019,120,1
39,15020,105,1
40,15020,116,10
41,15021,102,5
42,15021,103,2
43,15022,111,1
44,15022,114,2
45,15023,117,1
46,15023,106,2
47,15024,101,1
48,15024,119,3
49,15025,108,2
50,15025,118,4
51,15026,115,2
52,15026,109,1
53,15027,112,1
54,15027,110,3
55,15028,113,1
56,15028,105,2
57,15029,103,1
58,15029,104,2
59,15030,107,1
60,15030,120,3
61,15031,101,1
62,15032,102,2
63,15033,115,1
64,15034,111,2
65,15034,111,2
66,15010,999,2
67,15012,101,-3
68,15020,121,1
69,15020,122,1
