order_id,customer_id,order_date,discount
15001,1,2026-01-10,0.0
15002,2,2026-01-15,0.05
15003,3,2026-01-22,0.1
15004,1,2026-02-03,0.0
15005,4,2026-02-14,0.15
15006,5,2026-02-28,0.0
15007,6,2026-03-05,0.1
15008,7,2026-03-12,0.0
15009,2,2026-03-20,0.05
15010,8,2026-04-01,0.0
15011,9,2026-04-10,0.2
15012,10,2026-04-15,0.0
15013,1,2026-04-22,0.1
15014,11,2026-05-01,0.0
15015,12,2026-05-10,0.05
15016,3,2026-05-18,0.0
15017,13,2026-05-25,0.1
15018,14,2026-06-02,0.0
15019,5,2026-06-10,0.15
15020,15,2026-06-20,0.0
15021,1,2026-07-01,0.05
15022,2,2026-07-08,0.0
15023,4,2026-07-15,0.1
15024,8,2026-07-22,0.0
15025,10,2026-08-01,0.05
15026,1,2026-08-05,0.0
15027,3,2026-08-12,0.1
15028,6,2026-08-18,0.0
15029,9,2026-08-25,0.05
15030,11,2026-09-01,0.0
15031,9999,2026-06-15,0.0
15033,1,,0.0
15034,2,2026-09-05,0.0
